IRRADIATION,MODULE_TEMPERATURE,AMBIENT_TEMPERATURE,HOUR,MONTH,DAY_OF_YEAR,HOUR_SIN,HOUR_COS,ACTUAL_AC_POWER,PREDICTED_AC_POWER,ERROR
0.3363512746666666,39.3556314,28.019702266666663,13,6,163,-0.2588190451025208,-0.9659258262890683,1443.4857143,1892.612,-449.1263462468751
0.3353831253333333,37.5957134,28.066652533333336,16,6,163,-0.8660254037844385,-0.5000000000000004,2767.4803572,2377.312,390.16834548125007
0.0,22.747019333333327,24.059523533333333,20,6,163,-0.8660254037844386,0.5000000000000001,0.0,6.9278994,-6.927899360656738
0.0,22.368981933333338,23.82512006666667,21,6,163,-0.7071067811865477,0.7071067811865474,0.0,6.9278994,-6.927899360656738
0.0,22.361889533333333,23.73761393333333,21,6,163,-0.7071067811865477,0.7071067811865474,0.0,6.9278994,-6.927899360656738
0.0,22.271466200000003,23.686230533333333,21,6,163,-0.7071067811865477,0.7071067811865474,0.0,6.9278994,-6.927899360656738
0.0,22.367293333333333,23.57180973333333,22,6,163,-0.5000000000000004,0.8660254037844384,0.0,6.9278994,-6.927899360656738
0.0,21.94969073333333,23.328574733333333,23,6,163,-0.25881904510252157,0.9659258262890681,0.0,6.9278994,-6.927899360656738
0.0,20.528210533333333,22.799922733333336,0,6,164,0.0,1.0,0.0,6.960349,-6.960349082946777
0.0,20.668831466666663,22.69196986666667,0,6,164,0.0,1.0,0.0,6.960349,-6.960349082946777
0.0,20.44197957142857,22.360552285714288,2,6,164,0.49999999999999994,0.8660254037844387,0.0,6.960349,-6.960349082946777
0.0,19.39233373333333,21.680625333333328,3,6,164,0.7071067811865476,0.7071067811865476,0.0,6.960349,-6.960349082946777
0.0,20.0586528,21.79938153333333,3,6,164,0.7071067811865476,0.7071067811865476,0.0,6.960349,-6.960349082946777
0.0,21.4555846,22.11750466666667,3,6,164,0.7071067811865476,0.7071067811865476,0.0,-0.35711575,0.3571157455444336
0.0,20.44492186666667,21.33571573333333,4,6,164,0.8660254037844386,0.5000000000000001,0.0,6.960349,-6.960349082946777
0.0,19.437854,21.14945466666667,4,6,164,0.8660254037844386,0.5000000000000001,0.0,6.960349,-6.960349082946777
0.0,19.889562933333337,20.894081466666663,5,6,164,0.9659258262890683,0.25881904510252074,0.0,6.960349,-6.960349082946777
0.0033814346733333,20.124570866666662,20.89739573333333,6,6,164,1.0,6.123233995736766e-17,0.0,39.773388,-39.77338790893555
0.0630958514666666,22.649001066666667,21.6540956,7,6,164,0.9659258262890683,-0.25881904510252063,542.34821428,294.84445,247.5037623757031
0.0711178362666666,23.340763133333333,21.774928866666663,7,6,164,0.9659258262890683,-0.25881904510252063,622.5946428,356.20184,266.3927995382812
0.1192626860666666,24.81898393333333,22.443727666666664,8,6,164,0.8660254037844387,-0.4999999999999998,1039.0642858,475.98944,563.0748448820314
0.4422391126666667,35.93726406666667,24.682629266666662,9,6,164,0.7071067811865476,-0.7071067811865475,1918.7714286,2987.35,-1068.57866905625
0.507273356,45.5239648,27.061141066666668,12,6,164,1.2246467991473532e-16,-1.0,709.0428571,3086.9802,-2377.937367509375
0.544320384,40.93966879999999,27.122843333333336,12,6,164,1.2246467991473532e-16,-1.0,3038.2660714000003,2504.5242,533.7419014781253
0.5180401986666665,43.1335732,28.47677,14,6,164,-0.4999999999999997,-0.8660254037844388,4265.6267857,3785.8218,479.80500835625026
0.0264554836,26.05394893333333,25.90362353333333,18,6,164,-1.0,-1.8369701987210297e-16,72.84285714,50.226566,22.61629082530274
0.0,23.15259813333333,24.384317933333328,19,6,164,-0.9659258262890684,0.2588190451025203,0.0,6.9278994,-6.927899360656738
0.0,21.81601153333333,23.60764766666667,19,6,164,-0.9659258262890684,0.2588190451025203,0.0,15.063123,-15.063122749328613
0.0,21.05030713333333,22.585485866666662,21,6,164,-0.7071067811865477,0.7071067811865474,0.0,22.380583,-22.380582809448242
0.0,20.52727628571429,22.398563857142857,23,6,164,-0.25881904510252157,0.9659258262890681,0.0,22.380583,-22.380582809448242
0.0,19.845127266666665,21.771885066666663,3,6,165,0.7071067811865476,0.7071067811865476,0.0,6.960349,-6.960349082946777
0.0,19.613462266666662,21.70644933333333,4,6,165,0.8660254037844386,0.5000000000000001,0.0,6.960349,-6.960349082946777
0.0,19.00236393333333,21.506585666666663,5,6,165,0.9659258262890683,0.25881904510252074,0.0,6.960349,-6.960349082946777
0.0437152266,19.30752746666667,21.14960933333333,6,6,165,1.0,6.123233995736766e-17,229.58035715,238.48795,-8.907588406640627
0.5138973833333333,39.91504320000001,25.640753066666665,8,6,165,0.8660254037844387,-0.4999999999999998,6082.175,1835.7803,4246.3947265625
0.8554001073333332,53.953094466666656,29.45011986666667,11,6,165,0.258819045102521,-0.9659258262890682,7442.760715,3645.8774,3796.8832735937503
