DATE_TIME,PLANT_ID,SOURCE_KEY,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD
15-05-2020 07:00,4135001,sjndEbLyjtCKgGv,1877.125,184.0125,78.125,7016910.125
15-05-2020 07:15,4135001,bvBOhCH3iADSZry,1873.5,183.65,116.25,6316919.25
15-05-2020 08:00,4135001,3PZuoBAID5Wc2HD,2736.125,268.625,287.75,6988046.75
15-05-2020 10:45,4135001,uHbuxQJl8lW7ozc,6817.5,667.2,1930.375,7040611.375
15-05-2020 11:00,4135001,1IF53ai7Xc0U56Y,8230.428571,804.9,2014.571429,6185659.571
15-05-2020 11:00,4135001,rGa61gmuvPhdLxV,10648.85714,1039.528571,2089.285714,7113582.286
15-05-2020 12:45,4135001,sjndEbLyjtCKgGv,10235.14286,1000.271429,3455.857143,7020287.857
15-05-2020 14:30,4135001,sjndEbLyjtCKgGv,6043.125,591.7875,4907.75,7021739.75
15-05-2020 17:00,4135001,McdE0feGgRqW7Ca,2386.571429,234.1285714,6336.428571,7165300.429
15-05-2020 17:45,4135001,iCRJl6heRkivqQ3,519.625,50.275,6401.875,7184393.875
15-05-2020 18:15,4135001,uHbuxQJl8lW7ozc,101.0,9.7375,6385.75,7045066.75
15-05-2020 19:30,4135001,iCRJl6heRkivqQ3,0.0,0.0,6418.0,7184410.0
15-05-2020 22:00,4135001,zBIq5rxdHJRwDNY,0.0,0.0,6396.0,6345776.0
16-05-2020 03:45,4135001,McdE0feGgRqW7Ca,0.0,0.0,0.0,7165435.0
16-05-2020 04:30,4135001,ZoEaEvLYb1n2sOq,0.0,0.0,0.0,7104360.0
16-05-2020 05:45,4135001,VHMLBKoKgIrUVDU,0.0,0.0,0.0,7212666.0
16-05-2020 06:15,4135001,McdE0feGgRqW7Ca,348.25,33.675,4.75,7165439.75
16-05-2020 06:30,4135001,3PZuoBAID5Wc2HD,724.75,70.275,16.875,6994049.875
16-05-2020 07:15,4135001,7JYdWkrLSPkdwr4,1965.285714,192.6428571,112.2857143,7609188.286
16-05-2020 08:45,4135001,iCRJl6heRkivqQ3,6524.0,639.0571429,724.4285714,7185134.429
16-05-2020 09:30,4135001,McdE0feGgRqW7Ca,6050.125,592.8125,1196.25,7166631.25
16-05-2020 13:45,4135001,WRmjgnKYAwPKWDb,6439.0,630.7571429,4867.0,7039682.0
16-05-2020 17:00,4135001,zBIq5rxdHJRwDNY,1982.75,194.35,6249.125,6352025.125
16-05-2020 17:15,4135001,WRmjgnKYAwPKWDb,1599.25,156.375,6536.25,7041351.25
16-05-2020 20:15,4135001,1IF53ai7Xc0U56Y,0.0,0.0,6592.0,6196594.0
16-05-2020 22:30,4135001,zBIq5rxdHJRwDNY,0.0,0.0,6374.0,6352150.0
16-05-2020 22:45,4135001,bvBOhCH3iADSZry,0.0,0.0,6138.0,6328648.0
16-05-2020 23:15,4135001,wCURE6d3bPkepu2,0.0,0.0,6543.0,6795470.0
17-05-2020 00:15,4135001,ZnxXDlPa8U1GXgE,0.0,0.0,0.0,6535152.0
17-05-2020 03:00,4135001,VHMLBKoKgIrUVDU,0.0,0.0,0.0,7219380.0
17-05-2020 03:30,4135001,bvBOhCH3iADSZry,0.0,0.0,0.0,6328648.0
17-05-2020 04:00,4135001,WRmjgnKYAwPKWDb,0.0,0.0,0.0,7041430.0
17-05-2020 04:30,4135001,7JYdWkrLSPkdwr4,0.0,0.0,0.0,7615537.0
17-05-2020 05:45,4135001,z9Y9gH1T5YWrNuG,0.0,0.0,0.0,7020740.0
17-05-2020 08:30,4135001,uHbuxQJl8lW7ozc,5774.285714,565.8714286,608.2857143,7051947.286
17-05-2020 10:00,4135001,zBIq5rxdHJRwDNY,10072.5,984.775,1789.75,6353939.75
17-05-2020 11:00,4135001,7JYdWkrLSPkdwr4,11597.85714,1131.257143,2795.714286,7618332.714
17-05-2020 12:00,4135001,McdE0feGgRqW7Ca,6669.857143,653.2428571,3985.142857,7176006.143
17-05-2020 15:00,4135001,rGa61gmuvPhdLxV,9840.428571,962.2571429,6207.428571,7130306.429
17-05-2020 15:15,4135001,sjndEbLyjtCKgGv,7333.875,718.0625,6442.0,7036055.0
17-05-2020 15:30,4135001,ih0vzX44oOqAx2f,7843.125,767.5375,6596.875,6204406.875
17-05-2020 17:15,4135001,zBIq5rxdHJRwDNY,1697.428571,166.3428571,7420.0,6359570.0
17-05-2020 18:45,4135001,3PZuoBAID5Wc2HD,0.0,0.0,7794.0,7008483.0
17-05-2020 19:00,4135001,sjndEbLyjtCKgGv,0.0,0.0,7441.0,7037054.0
17-05-2020 21:00,4135001,7JYdWkrLSPkdwr4,0.0,0.0,7526.0,7623063.0
17-05-2020 21:00,4135001,iCRJl6heRkivqQ3,0.0,0.0,7519.0,7198367.0
17-05-2020 22:30,4135001,WRmjgnKYAwPKWDb,0.0,0.0,7674.0,7049104.0
17-05-2020 23:00,4135001,bvBOhCH3iADSZry,0.0,0.0,6928.0,6335576.0
17-05-2020 23:15,4135001,zVJPv84UY57bAof,0.0,0.0,7480.0,7136015.0
18-05-2020 00:45,4135001,ih0vzX44oOqAx2f,0.0,0.0,0.0,6205201.0
18-05-2020 02:15,4135001,WRmjgnKYAwPKWDb,0.0,0.0,0.0,7049104.0
18-05-2020 02:30,4135001,pkci93gMrogZuBj,0.0,0.0,0.0,7189047.0
18-05-2020 03:15,4135001,YxYtjZvoooNbGkE,0.0,0.0,0.0,7200229.0
18-05-2020 04:00,4135001,ZoEaEvLYb1n2sOq,0.0,0.0,0.0,7118208.0
18-05-2020 04:15,4135001,sjndEbLyjtCKgGv,0.0,0.0,0.0,7037054.0
18-05-2020 05:15,4135001,7JYdWkrLSPkdwr4,0.0,0.0,0.0,7623063.0
